mblogid,_id,url,comments_count,user_id,user_name,content
PhfK55ALI,5141120931332982,https://weibo.com/5364020718/PhfK55ALI,2,5364020718,最爱福州,"数字中国建设峰会在杭州招展招商

福州市招商办介绍了我市招商政策及投资发展环境 "
PibavapPT,5143328392482597,https://weibo.com/5364020718/PibavapPT,3,5364020718,最爱福州,"第八届数字中国建设峰会现场体验区计划于4月下旬开放，华为等企业将参展！

核心展示面积为5.6万平方米，预计参展单位超过350家 "
PjIBOonFz,5146997125810861,https://weibo.com/5364020718/PjIBOonFz,12,5364020718,最爱福州,第八届数字中国建设峰会志愿者面试：计划从3000多名报名人选中选拔出580名学生志愿者参加本届峰会的志愿服务 
PjZEEc1zX,5147652362866009,https://weibo.com/2639029341/PjZEEc1zX,4,2639029341,福州发布,#AI看福州# 春日暖阳，数字花开。携手AI走入福州的春天，共赴第八届数字中国建设峰会！#第八届数字中国建设峰会#（via.福州数字说） http://t.cn/A6Bn62yx 
Pl5p2vBaT,5150256607531071,https://weibo.com/1678943394/Pl5p2vBaT,1,1678943394,福州头条,#第八届数字中国建设峰会官宣#【定了！今天15时，即将官宣！】定了！今天（3月31日）15:00，国务院新闻办公室将举行介绍第八届数字中国建设峰会有关情况新闻发布会！  
Pl6zRArAS,5150301758685882,https://weibo.com/1678943394/Pl6zRArAS,2,1678943394,福州头条,#第八届数字中国建设峰会官宣##数字中国峰会4月29日在福州举办# 第八届数字中国建设峰会新闻发布会3月31日下午在北京举行，会上宣布，第八届数字中国建设峰会将于4月29日至30日在福建省福州市举办。[挤眼]一年一度的数字中国建设峰会来了，你期待公交地铁免费吗？ http://t.cn/A6rwdVDG 
Pl6aW7WlK,5150286301892596,https://weibo.com/5364020718/Pl6aW7WlK,1,5364020718,最爱福州,"第八届数字中国建设峰会时间定了！

第八届数字中国建设峰会将于4月29日至30日在福建省福州市举办 "
Pl5QoeNVQ,5150273563528534,https://weibo.com/5033508400/Pl5QoeNVQ,1,5033508400,福建发布,#福建省政府新闻发布会#3月31日15时，第八届数字中国建设峰会新闻发布会将召开，戳直播关注↓↓  http://t.cn/A6rwT8F9 
PlcMgvawk,5150540087428612,https://weibo.com/1409641392/PlcMgvawk,1,1409641392,FM1067私家车广播,#1067喇叭花快报# ▲第八届数字中国建设峰会将于4月29日至30日在福建省福州市举办。会议主要包括开幕式、主论坛、20个左右分论坛，以及数字中国创新大赛、“闽江夜话”“有福之州·对话未来”等特色活动，并设现场体验区，预计将有超过800位企业家、30位院士、以及诸多专家学者、社会各界人士齐聚峰会。 
Plcox0ARN,5150525370141719,https://weibo.com/6240234881/Plcox0ARN,1,6240234881,心若向往必有所成,人民财讯：国新办就第八届数字中国建设峰会有关情况举行发布会，工信部信息技术发展司司长王彦青表示，下一步，我们将进一步协同各地区、各部门研究出台促进数字产业高质量发展的文件。 
