_id,mblogid,created_at,ip_location,reposts_count,comments_count,attitudes_count,source,isLongText,pic_num,keyword,url,user_id,user_name,user_verified,content
5205491971523472,Q2iS16ok8,2025-08-30 23:57:42,,0,0,1,Mac客户端,False,1,,https://weibo.com/5208903485/Q2iS16ok8,5208903485,息烽政府办,True,【王宏会见苹果公司中国互联网服务总经理艾里克·阿尔伯特一行】8月29日，市委副书记、市长王宏会见来筑参加2025数博会的苹果公司中国互联网服务总经理艾里克·阿尔伯特一行，双方就深化合作进行交流。http://t.cn/AXvFfdWM（via.@贵阳市人民政府网 ） 
5205491848315715,Q2iROyTir,2025-08-30 23:57:13,,0,0,1,微博网页版,False,1,,https://weibo.com/5261528859/Q2iROyTir,5261528859,贵阳市人民政府网,True,【王宏会见阿里云战略发展副总裁李嘉平一行】8月29日，市委副书记、市长王宏会见来筑参加2025数博会的阿里云战略发展副总裁李嘉平一行，双方就深化合作进行交流。http://t.cn/AXvFfD1h 
5205491757878736,Q2iRFx3Co,2025-08-30 23:56:51,,0,0,1,微博网页版,False,1,,https://weibo.com/5261528859/Q2iRFx3Co,5261528859,贵阳市人民政府网,True,【王宏会见苹果公司中国互联网服务总经理艾里克·阿尔伯特一行】8月29日，市委副书记、市长王宏会见来筑参加2025数博会的苹果公司中国互联网服务总经理艾里克·阿尔伯特一行，双方就深化合作进行交流。http://t.cn/AXvFfdWM 
,Q2iQqrUnP,2025-08-30 23:53:47,山东,0,0,0,,,,中国国际大数据产业博览会,https://weibo.com/7920482185/Q2iQqrUnP,7920482185,华胥资本,False,8月30日，据国家数据局官微消息，在2025中国国际大数据产业博览会“高质量数据集主题交流活动”上，具身智能灵巧手多样抓取仿真数据集，在国家数据局数字科技和基础设施建设司指导下，由银河通用介绍发布，DexonomySim专为具身智能机器人灵巧抓取任务设计，包含超过950万条高质量抓取姿态，覆盖超1万个物体与31种常用抓握类型，涵盖人类抓握分类法中约94%的类型，是当前具身智能领域开源的最大规模灵
,Q2iKlmQpm,2025-08-30 23:38:48,安徽,0,0,0,,,,"贵州,数博会",https://weibo.com/5017458483/Q2iKlmQpm,5017458483,风向标小秘,False,8月28日，由人民网与贵州大数据集团联合主办的“2025数博会·DATA之夜”活动在贵阳召开，太极计算机股份有限公司总裁仲恺表示具身智能发展要求本体、数据、算力、算法四要素协同：太极计算机股份有限公司总裁仲恺表示数据侧对数据的要求是全面性、准确性、持续性和安全性，算力侧要求稳定性和经济性，算法侧则要求更高的协同适配性。活动上，太极计算机股份有限公司总裁仲恺表示，具身智能发展要求本体、数据、算力、
5205483562731314,Q2iEsbsxs,2025-08-30 23:24:17,发布于 贵州,0,9,15,iPhone客户端,False,1,,https://weibo.com/3944459103/Q2iEsbsxs,3944459103,越努力越幸运Kay,False,"又一个大会结束🔚
怎么说，我这身行头够不够职场？  "
,,2025-08-30 23:12:45,,0,0,0,,,,中国国际大数据产业博览会,https://weibo.com/ttarticle/p/show?id=2309405205480661450792,2407846143,fxzykj,False,——从“冷冰冰”的字节到炽热的产业动能，大数据如何成为中国经济的新引擎，https://wx3.sinaimg.cn/large/8f84d0ffgy1i4tz8y21bwj241l2p24qq.jpg，你有没有想过，未来的石油不在地下，而在你指尖，就在贵阳，2025中国国际大数据产业博览会热闹开幕，1.6万名嘉宾、375家中外企业齐聚一堂，六大展馆闪耀登场，简直是数据界的“奥运会”，今年的数博
,Q2inN7Ydc,2025-08-30 22:43:14,,0,0,0,,,,中国国际大数据产业博览会,https://weibo.com/1912386535/Q2inN7Ydc,1912386535,上海日报-SHINE,True,2025虚拟F1中国公开赛贵阳大奖赛于今日落下帷幕，作为来自上海的顶级数字体育IP，此次大奖赛也成为2025中国国际大数据产业博览会的焦点，中国F1学院赛车手师炜（昵称铁豆）担任比赛推广大使，现场也陈列了F1中国大奖赛的奖杯、赛车模型等展品，在这场科技与体育的碰撞中，模拟器与实时数据系统精准还原了F1赛事的激烈竞争场景，经过三天的角逐，来自极限巅峰领航者的唐天宇成功登顶最高领奖台，车队也凭借积分
5205471942417542,Q2ilIa8UC,2025-08-30 22:38:07,,2,0,2,微博网页版,False,1,,https://weibo.com/1862172703/Q2ilIa8UC,1862172703,集微网官方微博,True,"【#具身智能高质量合成数据集开源发布#】

据国家数据局官微消息，近日，在2025中国国际大数据产业博览会“高质量数据集主题交流活动”上，具身智能灵巧手多样抓取仿真数据集（DexonomySim）开源发布。http://t.cn/AXvFLIHF "
5205467447693094,Q2ieswhka,2025-08-30 22:20:15,发布于 贵州,0,13,17,iPhone 15 Pro Max,False,9,,https://weibo.com/3317157881/Q2ieswhka,3317157881,SelenaEmile,False,专属于贵阳人的数博会小长假 
